Category Name,Category Link,Last Modified,Change Frequency,Priority
360 degree feedback software ,https://www.capterra.com/360-degree-feedback-software/,2020-12-16T22:45:04Z,daily,0.9
3d architecture software ,https://www.capterra.com/3d-architecture-software/,2020-12-16T22:45:04Z,daily,0.9
3d cad software ,https://www.capterra.com/3d-cad-software/,2020-12-16T22:45:04Z,daily,0.9
ab testing software ,https://www.capterra.com/ab-testing-software/,2020-12-16T22:45:04Z,daily,0.9
account based marketing software ,https://www.capterra.com/account-based-marketing-software/,2020-12-16T22:45:04Z,daily,0.9
accounting software ,https://www.capterra.com/accounting-software/,2020-12-16T22:45:04Z,daily,0.9
accounting practice management software ,https://www.capterra.com/accounting-practice-management-software/,2020-12-16T22:45:04Z,daily,0.9
accounts payable software ,https://www.capterra.com/accounts-payable-software/,2020-12-16T22:45:04Z,daily,0.9
accounts receivable software ,https://www.capterra.com/accounts-receivable-software/,2020-12-16T22:45:04Z,daily,0.9
accreditation management software ,https://www.capterra.com/accreditation-management-software/,2020-12-16T22:45:04Z,daily,0.9
ad server software ,https://www.capterra.com/ad-server-software/,2020-12-16T22:45:04Z,daily,0.9
admissions software ,https://www.capterra.com/admissions-software/,2020-12-16T22:45:04Z,daily,0.9
advertising agency software ,https://www.capterra.com/advertising-agency-software/,2020-12-16T22:45:04Z,daily,0.9
advocacy software ,https://www.capterra.com/advocacy-software/,2020-12-16T22:45:04Z,daily,0.9
affiliate software ,https://www.capterra.com/affiliate-software/,2020-12-16T22:45:04Z,daily,0.9
agile project management tools software ,https://www.capterra.com/agile-project-management-tools-software/,2020-12-16T22:45:04Z,daily,0.9
airline reservation system software ,https://www.capterra.com/airline-reservation-system-software/,2020-12-16T22:45:04Z,daily,0.9
all in one marketing software ,https://www.capterra.com/all-in-one-marketing-software/,2020-12-16T22:45:04Z,daily,0.9
alumni management software ,https://www.capterra.com/alumni-management-software/,2020-12-16T22:45:04Z,daily,0.9
aml software ,https://www.capterra.com/aml-software/,2020-12-16T22:45:04Z,daily,0.9
android kiosk software ,https://www.capterra.com/android-kiosk-software/,2020-12-16T22:45:04Z,daily,0.9
animal shelter software ,https://www.capterra.com/animal-shelter-software/,2020-12-16T22:45:04Z,daily,0.9
anti spam software ,https://www.capterra.com/anti-spam-software/,2020-12-16T22:45:04Z,daily,0.9
api management software ,https://www.capterra.com/api-management-software/,2020-12-16T22:45:04Z,daily,0.9
app building software ,https://www.capterra.com/app-building-software/,2020-12-16T22:45:04Z,daily,0.9
app design software ,https://www.capterra.com/app-design-software/,2020-12-16T22:45:04Z,daily,0.9
app store optimization tools software ,https://www.capterra.com/app-store-optimization-tools-software/,2020-12-16T22:45:04Z,daily,0.9
apparel management software ,https://www.capterra.com/apparel-management-software/,2020-12-16T22:45:04Z,daily,0.9
applicant tracking software ,https://www.capterra.com/applicant-tracking-software/,2020-12-16T22:45:04Z,daily,0.9
application development software ,https://www.capterra.com/application-development-software/,2020-12-16T22:45:04Z,daily,0.9
application lifecycle management software ,https://www.capterra.com/application-lifecycle-management-software/,2020-12-16T22:45:04Z,daily,0.9
application performance management software ,https://www.capterra.com/application-performance-management-software/,2020-12-16T22:45:04Z,daily,0.9
applied behavior analysis software ,https://www.capterra.com/applied-behavior-analysis-software/,2020-12-16T22:45:04Z,daily,0.9
appointment reminder software ,https://www.capterra.com/appointment-reminder-software/,2020-12-16T22:45:04Z,daily,0.9
appointment scheduling software ,https://www.capterra.com/appointment-scheduling-software/,2020-12-16T22:45:04Z,daily,0.9
arborist software ,https://www.capterra.com/arborist-software/,2020-12-16T22:45:04Z,daily,0.9
architectural cad software ,https://www.capterra.com/architectural-cad-software/,2020-12-16T22:45:04Z,daily,0.9
architecture software ,https://www.capterra.com/architecture-software/,2020-12-16T22:45:04Z,daily,0.9
archiving software ,https://www.capterra.com/archiving-software/,2020-12-16T22:45:04Z,daily,0.9
art gallery software ,https://www.capterra.com/art-gallery-software/,2020-12-16T22:45:04Z,daily,0.9
artificial intelligence software ,https://www.capterra.com/artificial-intelligence-software/,2020-12-16T22:45:04Z,daily,0.9
assessment software ,https://www.capterra.com/assessment-software/,2020-12-16T22:45:04Z,daily,0.9
asset tracking software ,https://www.capterra.com/asset-tracking-software/,2020-12-16T22:45:04Z,daily,0.9
